Pliegues,RF_lag3,RF_lag5,LR_lag3,LR_lag5,Lasso_lag3,Lasso_lag5,SVR_lag3,SVR_lag5,GBR_lag3,GBR_lag5,EN_lag3,EN_lag5
Fold 1,0.66,0.851,0.396,0.465,0.431,0.433,0.485,0.465,0.592,0.875,0.458,0.45
Fold 2,0.725,0.647,0.065,-0.042,0.16,0.047,0.245,-0.009,0.269,0.734,0.202,0.109
Fold 3,0.866,0.907,0.467,0.556,0.486,0.571,0.491,0.553,0.646,0.895,0.497,0.571
Fold 4,0.926,0.934,0.337,0.433,0.32,0.445,0.336,0.535,0.871,0.942,0.315,0.442
Fold 5,0.863,0.889,0.568,0.601,0.561,0.602,0.689,0.748,0.786,0.981,0.571,0.598
Fold 6,0.928,0.932,0.793,0.803,0.796,0.803,0.824,0.826,0.938,0.985,0.796,0.802
Fold 7,0.837,0.91,0.517,0.583,0.508,0.6,0.477,0.69,0.909,0.976,0.501,0.598
Fold 8,0.943,0.944,0.888,0.913,0.887,0.91,0.86,0.873,0.966,0.981,0.884,0.907
Fold 9,0.933,0.948,0.864,0.885,0.862,0.879,0.817,0.811,0.989,0.981,0.861,0.879
Fold 10,0.804,0.782,0.62,0.586,0.609,0.591,0.621,0.638,0.844,0.968,0.608,0.587
