Pliegues,RandomForest,LinearRegression,Lasso,SVR,GradientBoostingRegressor,ElasticNet
Fold 1 lag 3,0.008461809539171626,0.032479379483687176,0.007226837336037861,0.01262251503287273,0.007774347107242305,0.0064756998695471866
Fold 2 lag 3,0.0034002135644607802,0.004186093958217579,0.00402373534340785,0.005365735008964477,0.003021336590826834,0.003658465114373829
Fold 3 lag 3,0.0017136275262635585,0.0018660797461365617,0.0013290029274778455,0.00598986113606588,0.0014403236039262593,0.0013061981117544071
Fold 4 lag 3,0.0022474308741024344,0.003993850772920802,0.002255516332014186,0.007597145853741104,0.0018278655485198644,0.001958675823393408
Fold 5 lag 3,0.012167483807923334,0.011721116516433771,0.011191646852314706,0.014557285683201065,0.012484307124402256,0.01250078800754894
Fold 6 lag 3,0.0844478479610937,0.016943375090352257,0.017917390790380336,0.02131028298078516,0.0822309162290628,0.020494296732775835
Fold 7 lag 3,0.03382420136615136,0.026277800411111718,0.02582268478367422,0.03472338059374103,0.02253354651114528,0.026455373750589845
Fold 8 lag 3,0.06530851214711131,0.036142256707631104,0.03589366491238244,0.04013852579812294,0.07440432849161874,0.03732259265790294
Fold 9 lag 3,0.09853224139594602,0.05279754394214892,0.0552914238982756,0.059636952174929474,0.09988522429040818,0.05440076569724184
Fold 10 lag 3,0.043866780460237564,0.02013433629760765,0.02008486741859572,0.018272298380628618,0.03065184961193418,0.01938008616994824
Fold 1 lag 5,0.011391628885058583,0.014992153653098302,0.007081679895772772,0.017493774448693968,0.00987864799960953,0.005980523819978833
Fold 2 lag 5,0.005021389838078405,0.003734392674030339,0.0027336459034666,0.003983906599998551,0.005114585249143005,0.0034429449965015435
Fold 3 lag 5,0.00217317052928091,0.0032664574224786336,0.0016851735111361808,0.004277434632101434,0.0012426807681216129,0.0016319036659297715
Fold 4 lag 5,0.0029335258291932976,0.0027628246495979194,0.002159213403822326,0.010133589630382139,0.0016515370451472755,0.002001335510689213
Fold 5 lag 5,0.013228935096292282,0.00714958863682312,0.012082900553177123,0.018390404927237217,0.013560849624707744,0.012333373291134625
Fold 6 lag 5,0.08715797256960198,0.016095938283687508,0.016958873408071437,0.012786739861729457,0.0879845604204651,0.016918441757817454
Fold 7 lag 5,0.03345641040713318,0.026126934017487058,0.027261083717797008,0.028556785023652304,0.032381941043962276,0.025546408646378277
Fold 8 lag 5,0.056946897978474215,0.03273023391647345,0.03317022834028399,0.0317671629541868,0.06105104343675907,0.03221733307011096
Fold 9 lag 5,0.11837941726623405,0.042889189769869274,0.043394542354540114,0.043899308723989616,0.11592468792507002,0.04233644271884897
Fold 10 lag 5,0.055397074630484586,0.024806266074162052,0.02318506854861556,0.020646971176360024,0.04098813610417251,0.02201941157329415
