Pliegues,Random Forest,Linear Regression,Lasso,SVR,Gradient Boosting Regressor,Elastic Net
Fold 1,0.008461809539171626,0.032479379483687176,0.007226837336037861,0.01262251503287273,0.007774347107242305,0.0064756998695471866
Fold 2,0.0034002135644607802,0.004186093958217579,0.00402373534340785,0.005365735008964477,0.003021336590826834,0.003658465114373829
Fold 3,0.0017136275262635585,0.0018660797461365617,0.0013290029274778455,0.00598986113606588,0.0014403236039262593,0.0013061981117544071
Fold 4,0.0022474308741024344,0.003993850772920802,0.002255516332014186,0.007597145853741104,0.0018278655485198644,0.001958675823393408
Fold 5,0.012167483807923334,0.011721116516433771,0.011191646852314706,0.014557285683201065,0.012484307124402256,0.01250078800754894
Fold 6,0.0844478479610937,0.016943375090352257,0.017917390790380336,0.02131028298078516,0.0822309162290628,0.020494296732775835
Fold 7,0.03382420136615136,0.026277800411111718,0.02582268478367422,0.03472338059374103,0.02253354651114528,0.026455373750589845
Fold 8,0.06530851214711131,0.036142256707631104,0.03589366491238244,0.04013852579812294,0.07440432849161874,0.03732259265790294
Fold 9,0.09853224139594602,0.05279754394214892,0.0552914238982756,0.059636952174929474,0.09988522429040818,0.05440076569724184
Fold 10,0.043866780460237564,0.02013433629760765,0.02008486741859572,0.018272298380628618,0.03065184961193418,0.01938008616994824
