Pliegues,Random Forest,Linear Regression,Lasso,SVR,Gradient Boosting Regressor,Elastic Net
Fold 1,0.01024992474805208,0.040039724864364405,0.010776960202144279,0.015468078623199892,0.009779434918460589,0.009565284147452635
Fold 2,0.0034654790028897263,0.006011300119910414,0.005830512157480371,0.006113116840157294,0.0032356427203584343,0.005436850918158208
Fold 3,0.0023592679268845803,0.0025992429167313287,0.0022822032451363743,0.00796404463611408,0.0020580457639178336,0.0022203947026757
Fold 4,0.005816714531364406,0.008027408253553277,0.0068929505784955224,0.01265939261359597,0.005418278123669583,0.006962176711381616
Fold 5,0.0192276604805371,0.015113229727054828,0.014720001028475045,0.01887661727868233,0.01810880243931112,0.015303018255397611
Fold 6,0.09771702528411608,0.030118410859911918,0.031447307789219184,0.031626231361112395,0.09463728211372124,0.03149229879078295
Fold 7,0.0540431061323648,0.04762141042846734,0.0481744253316304,0.050316887928784734,0.049421854524424456,0.04825315884257414
Fold 8,0.11773173530979122,0.06435862821306965,0.0639669153019642,0.06624907426369614,0.11832758536068494,0.06446466005725832
Fold 9,0.12488762962953248,0.08579317240129121,0.0857156655407444,0.08900868976003866,0.12193860202437153,0.08526027160961974
Fold 10,0.06013499753852137,0.02991618787999481,0.02993832135270489,0.029868123888590965,0.048429003853080216,0.02964533054946354
