Fecha,Entradas,Salidas
01/04/2020,139365,140704
01/06/2020,247203,256022
01/05/2020,108778,109906
02/04/2020,141941,142879
02/06/2020,257953,269531
02/05/2020,115983,117777
03/04/2020,141262,143792
03/06/2020,258102,269213
03/05/2020,98797,100355
04/04/2020,107309,108528
04/06/2020,259323,268231
04/05/2020,186019,191201
05/04/2020,79417,80051
05/06/2020,262481,270599
05/05/2020,198938,205336
06/04/2020,146706,148266
06/06/2020,240921,242413
06/05/2020,195533,201158
07/04/2020,147536,150651
07/06/2020,198952,199688
07/05/2020,196134,201285
08/04/2020,150724,153004
08/06/2020,222491,232747
08/05/2020,198576,203205
09/04/2020,114300,116979
09/06/2020,175131,184569
09/05/2020,117015,118887
10/04/2020,87055,86701
10/06/2020,266097,272966
10/05/2020,97821,99287
11/04/2020,108522,108878
11/06/2020,272043,280026
11/05/2020,211407,216576
12/04/2020,80844,81156
12/06/2020,264864,274606
12/05/2020,233265,241389
13/04/2020,157942,160166
13/06/2020,243318,245931
13/05/2020,230073,238389
14/04/2020,150098,156305
14/06/2020,206715,207880
14/05/2020,216050,221301
15/04/2020,150269,153340
15/06/2020,263907,274507
15/05/2020,223514,229513
16/04/2020,171574,175598
16/06/2020,273085,283666
16/03/2020,177883,181327
16/05/2020,179724,182361
17/04/2020,163635,167506
17/06/2020,275245,285680
17/05/2020,145412,147574
18/04/2020,115680,117088
18/06/2020,278875,288627
18/03/2020,173471,176230
18/05/2020,217619,225101
19/04/2020,76322,77043
19/06/2020,277412,286959
19/05/2020,231784,239150
20/04/2020,158419,162575
20/06/2020,245580,248297
20/03/2020,154947,155680
20/05/2020,233556,242178
21/04/2020,165315,170151
21/05/2020,237976,244366
22/04/2020,171195,173965
22/03/2020,74402,75045
22/05/2020,237851,243938
23/04/2020,164466,168229
23/05/2020,201315,204309
24/04/2020,164601,168766
24/03/2020,155739,154918
24/05/2020,168664,170093
25/04/2020,108902,110173
25/05/2020,238738,247812
26/04/2020,78256,79297
26/03/2020,168896,168362
26/05/2020,247513,255527
27/04/2020,159065,163263
27/05/2020,251965,261386
28/04/2020,171548,176853
28/03/2020,110745,109238
28/05/2020,253690,260803
29/04/2020,173569,177707
29/05/2020,254200,261923
30/04/2020,176271,180598
30/03/2020,147873,145964
30/05/2020,226673,228689
31/03/2020,133493,135843
31/05/2020,187016,188778
