Fecha,Entradas,Salidas
2020-03-16,73462,73898
2020-03-18,68851,69944
2020-03-20,62417,62512
2020-03-22,34006,34575
2020-03-24,66884,66296
2020-03-26,67189,68611
2020-03-28,47298,47057
2020-03-30,59110,60070
2020-03-31,54693,56468
2020-04-01,55566,56640
2020-04-02,55754,56821
2020-04-03,59281,60228
2020-04-04,43821,44339
2020-04-05,35414,36649
2020-04-06,56885,60679
2020-04-07,58101,60054
2020-04-08,59311,60554
2020-04-09,45268,48045
2020-04-10,37387,38626
2020-04-11,44408,46520
2020-04-12,36400,37166
2020-04-13,62385,65567
2020-04-14,59561,62591
2020-04-15,61218,62689
2020-04-16,65817,69120
2020-04-17,63973,66711
2020-04-18,46992,46812
2020-04-19,33503,33506
2020-04-20,61433,63843
2020-04-21,62961,66893
2020-04-22,66758,68468
2020-04-23,63232,65736
2020-04-24,63570,66164
2020-04-25,44166,44972
2020-04-26,34183,34690
2020-04-27,61707,64242
2020-04-28,66194,68741
2020-04-29,66856,69411
2020-04-30,68425,70665
2020-05-01,43145,44367
2020-05-02,46571,47777
2020-05-03,43077,43351
2020-05-04,73955,76653
2020-05-05,78730,81638
2020-05-06,77381,80517
2020-05-07,77912,80541
2020-05-08,78165,80870
2020-05-09,47113,48142
2020-05-10,43295,43493
2020-05-11,84100,87146
2020-05-12,93049,97273
2020-05-13,91554,96192
2020-05-14,89481,91953
2020-05-15,90263,93957
2020-05-16,70000,76665
2020-05-17,57052,61975
2020-05-18,88327,90683
2020-05-19,93949,97216
2020-05-20,93743,98110
2020-05-21,96041,99716
2020-05-22,96211,100136
2020-05-23,74426,85428
2020-05-24,62089,70938
2020-05-25,98141,98630
2020-05-26,101358,103770
2020-05-27,103739,107127
2020-05-28,103900,107175
2020-05-29,104476,108186
2020-05-30,82119,96405
2020-05-31,64971,77860
2020-06-01,103100,102294
2020-06-02,105690,108530
2020-06-03,107708,110150
2020-06-04,107093,109933
2020-06-05,108403,111104
2020-06-06,86188,102837
2020-06-07,67159,82065
2020-06-08,96022,93451
2020-06-09,64491,74700
2020-06-10,111964,110661
2020-06-11,114462,116325
2020-06-12,112620,115662
2020-06-13,89389,105704
2020-06-14,70160,86380
2020-06-15,111128,109165
2020-06-16,113476,116321
2020-06-17,114180,117965
2020-06-18,116936,119487
2020-06-19,116626,119972
2020-06-20,86878,105677
2020-06-24,122124,123934
2020-06-28,83345,65510
2020-07-01,120626,117944
2020-07-05,76624,61031
2020-07-08,118262,115592
2020-07-12,71013,55261
2020-07-15,114349,112927
2020-07-19,68514,52334
2020-07-22,107891,105622
2020-07-26,64702,49242
2020-07-29,106183,104342
2020-08-02,59505,44790
2020-08-05,90636,87244
2020-08-09,57588,43721
2020-08-12,85145,81635
2020-08-16,54101,42643
2020-08-19,84054,79727
2020-08-23,45937,37184
2020-08-26,88148,85356
2020-08-30,55536,47330
2020-09-02,107974,107100
2020-09-06,66893,56171
2020-09-09,115600,114760
2020-09-13,71364,62064
2020-09-16,113694,115761
2020-09-20,71524,61192
2020-09-23,118421,116317
2020-09-27,63234,54238
2020-09-30,106924,106310
2020-10-04,77310,69647
2020-10-07,118395,119090
2020-10-11,72756,61016
2020-10-14,119302,118845
2020-10-18,75623,66994
2020-10-21,117171,116062
2020-10-25,75116,66285
2020-10-28,115937,114881
2020-11-01,61879,61791
2020-11-04,111745,111765
2020-11-08,57283,56663
2020-11-11,109647,107771
2020-11-15,59999,59370
2020-11-18,111675,109078
2020-11-22,60981,59929
2020-11-25,114248,113271
2020-11-29,67523,67079
2020-12-02,113932,112594
2020-12-06,66824,66206
2020-12-09,107815,109510
2020-12-13,77546,71618
2020-12-16,118347,117065
2020-12-20,76735,72704
2020-12-23,111352,110996
2020-12-27,70995,67454
2020-12-30,101300,101969
