Fecha,Pruebas,Incidentes,H,H_UCI,Defunciones,Asint_H_<45,Asint_H_45a64,Asint_H_+65,Sint_H_<45,Sint_H_45a64,Sint_H_+65,Asint_M_<45,Asint_M_45a64,Asint_M_+65,Sint_M_<45,Sint_M_45a64,Sint_M_+65,Asintomaticos
2020-03-08,130.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0
2020-03-09,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-03-10,39.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2020-03-11,116.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,4.0,1.0,1.0,2.0
2020-03-12,136.0,9.0,4.0,1.0,0.0,3.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0
2020-03-13,228.0,12.0,8.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0
2020-03-14,196.0,23.0,8.0,2.0,0.0,1.0,2.0,0.0,3.0,2.0,4.0,1.0,0.0,1.0,3.0,6.0,1.0,5.0
2020-03-15,121.0,18.0,13.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,6.0,2.0,1.0,4.0
2020-03-16,147.0,24.0,18.0,3.0,0.0,1.0,1.0,0.0,4.0,2.0,2.0,3.0,0.0,0.0,3.0,3.0,0.0,5.0
2020-03-17,226.0,39.0,22.0,4.0,0.0,10.0,4.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,4.0,23.0
2020-03-18,282.0,28.0,36.0,6.0,0.0,3.0,8.0,0.0,0.0,4.0,1.0,6.0,1.0,2.0,0.0,2.0,2.0,20.0
2020-03-19,307.0,38.0,47.0,11.0,0.0,4.0,4.0,2.0,3.0,4.0,0.0,5.0,3.0,2.0,1.0,3.0,0.0,20.0
2020-03-20,333.0,35.0,61.0,14.0,1.0,10.0,7.0,1.0,3.0,5.0,1.0,2.0,4.0,3.0,5.0,3.0,2.0,27.0
2020-03-21,362.0,58.0,78.0,16.0,0.0,4.0,8.0,1.0,3.0,10.0,6.0,5.0,3.0,4.0,3.0,2.0,2.0,25.0
2020-03-22,346.0,50.0,80.0,23.0,2.0,3.0,4.0,1.0,1.0,3.0,3.0,1.0,6.0,2.0,0.0,3.0,2.0,17.0
2020-03-23,207.0,52.0,99.0,26.0,0.0,6.0,7.0,1.0,3.0,2.0,6.0,5.0,10.0,6.0,3.0,5.0,3.0,35.0
2020-03-24,496.0,113.0,127.0,33.0,4.0,6.0,8.0,3.0,8.0,9.0,19.0,4.0,2.0,6.0,11.0,12.0,40.0,29.0
2020-03-25,496.0,75.0,172.0,36.0,3.0,2.0,3.0,1.0,6.0,8.0,10.0,6.0,2.0,3.0,10.0,14.0,14.0,17.0
2020-03-26,728.0,119.0,209.0,53.0,9.0,6.0,4.0,2.0,9.0,14.0,12.0,7.0,3.0,4.0,10.0,15.0,11.0,26.0
2020-03-27,715.0,86.0,231.0,58.0,6.0,2.0,4.0,2.0,6.0,10.0,5.0,0.0,6.0,1.0,12.0,14.0,11.0,15.0
2020-03-28,517.0,62.0,260.0,57.0,6.0,3.0,2.0,2.0,5.0,6.0,12.0,4.0,4.0,0.0,7.0,9.0,7.0,15.0
2020-03-29,402.0,50.0,265.0,57.0,9.0,0.0,2.0,0.0,6.0,6.0,8.0,2.0,1.0,3.0,6.0,10.0,6.0,8.0
2020-03-30,250.0,46.0,283.0,59.0,3.0,3.0,2.0,1.0,0.0,5.0,5.0,1.0,2.0,9.0,10.0,3.0,8.0,18.0
2020-03-31,616.0,60.0,304.0,57.0,6.0,4.0,5.0,5.0,3.0,4.0,3.0,7.0,8.0,2.0,3.0,4.0,3.0,31.0
2020-04-01,598.0,34.0,287.0,58.0,4.0,2.0,0.0,2.0,1.0,4.0,0.0,4.0,4.0,1.0,10.0,3.0,5.0,13.0
2020-04-02,572.0,71.0,284.0,57.0,9.0,3.0,2.0,4.0,3.0,1.0,4.0,5.0,5.0,7.0,13.0,5.0,8.0,26.0
2020-04-03,460.0,38.0,284.0,57.0,6.0,1.0,0.0,3.0,3.0,8.0,3.0,0.0,1.0,1.0,9.0,7.0,7.0,6.0
2020-04-04,587.0,43.0,290.0,58.0,4.0,0.0,1.0,1.0,7.0,4.0,5.0,2.0,1.0,4.0,7.0,8.0,5.0,9.0
2020-04-05,331.0,18.0,298.0,53.0,14.0,2.0,4.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,3.0,0.0,13.0
2020-04-06,221.0,31.0,293.0,51.0,3.0,0.0,1.0,2.0,2.0,4.0,1.0,1.0,3.0,8.0,3.0,1.0,4.0,15.0
2020-04-07,540.0,25.0,273.0,50.0,4.0,0.0,2.0,3.0,1.0,6.0,3.0,3.0,3.0,3.0,2.0,5.0,2.0,14.0
2020-04-08,606.0,16.0,262.0,47.0,6.0,1.0,1.0,2.0,5.0,2.0,3.0,1.0,2.0,7.0,2.0,2.0,5.0,14.0
2020-04-09,546.0,40.0,244.0,49.0,2.0,1.0,0.0,4.0,0.0,5.0,5.0,0.0,0.0,12.0,4.0,3.0,8.0,17.0
2020-04-10,394.0,11.0,231.0,42.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,4.0
2020-04-11,306.0,7.0,220.0,44.0,4.0,1.0,1.0,4.0,0.0,0.0,2.0,0.0,1.0,12.0,3.0,2.0,1.0,19.0
2020-04-12,363.0,4.0,221.0,43.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,2.0,5.0
2020-04-13,455.0,6.0,211.0,41.0,1.0,2.0,0.0,0.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,5.0,1.0,5.0
2020-04-14,931.0,18.0,200.0,36.0,3.0,0.0,4.0,7.0,4.0,5.0,4.0,1.0,6.0,13.0,6.0,4.0,2.0,31.0
2020-04-15,760.0,12.0,186.0,36.0,0.0,5.0,12.0,1.0,6.0,2.0,1.0,5.0,6.0,0.0,2.0,6.0,2.0,29.0
2020-04-16,581.0,1.0,160.0,34.0,2.0,1.0,3.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0
2020-04-17,474.0,8.0,152.0,36.0,4.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,6.0
2020-04-18,503.0,10.0,145.0,31.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0
