Fecha,Incidentes,Pruebas t-1,Pruebas t-2,Pruebas t-3,Incidentes t-1,Incidentes t-2,Incidentes t-3,H t-1,H t-2,H t-3,H_UCI t-1,H_UCI t-2,H_UCI t-3,Defunciones t-1,Defunciones t-2,Defunciones t-3,Asintomaticos t-1,Asintomaticos t-2,Asintomaticos t-3,Sintomaticos t-1,Sintomaticos t-2,Sintomaticos t-3,Entradas t-1,Entradas t-2,Entradas t-3,Salidas t-1,Salidas t-2,Salidas t-3
2020-03-11,12.0,39.0,21.0,130.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,1.0,145999.438,146586.006,134872.11800000002,145006.937,148231.62900000002,129792.956
2020-03-12,9.0,116.0,39.0,21.0,12.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,4.0,4.0,145431.106,145999.438,146586.006,143921.17299999998,145006.937,148231.62900000002
2020-03-13,12.0,136.0,116.0,39.0,9.0,12.0,6.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,7.0,10.0,4.0,145470.77099999998,145431.106,145999.438,144238.438,143921.17299999998,145006.937
2020-03-14,23.0,228.0,136.0,116.0,12.0,9.0,12.0,8.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,9.0,7.0,10.0,143647.02800000002,145470.77099999998,145431.106,140719.734,144238.438,143921.17299999998
2020-03-15,18.0,196.0,228.0,136.0,23.0,12.0,9.0,8.0,8.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,5.0,3.0,5.0,19.0,9.0,7.0,71089.56700000001,143647.02800000002,145470.77099999998,69784.739,140719.734,144238.438
2020-03-16,24.0,121.0,196.0,228.0,18.0,23.0,12.0,13.0,8.0,8.0,2.0,2.0,1.0,0.0,0.0,0.0,4.0,5.0,3.0,14.0,19.0,9.0,37512.616,71089.56700000001,143647.02800000002,39003.832,69784.739,140719.734
2020-03-17,39.0,147.0,121.0,196.0,24.0,18.0,23.0,18.0,13.0,8.0,3.0,2.0,2.0,0.0,0.0,0.0,5.0,4.0,5.0,14.0,14.0,19.0,87342.40599999999,37512.616,71089.56700000001,88830.57699999999,39003.832,69784.739
2020-03-18,28.0,226.0,147.0,121.0,39.0,24.0,18.0,22.0,18.0,13.0,4.0,3.0,2.0,0.0,0.0,0.0,23.0,5.0,4.0,16.0,14.0,14.0,88994.959,87342.40599999999,37512.616,87741.81800000001,88830.57699999999,39003.832
2020-03-19,38.0,282.0,226.0,147.0,28.0,39.0,24.0,36.0,22.0,18.0,6.0,4.0,3.0,0.0,0.0,0.0,20.0,23.0,5.0,9.0,16.0,14.0,90235.208,88994.959,87342.40599999999,88626.08799999997,87741.81800000001,88830.57699999999
2020-03-20,35.0,307.0,282.0,226.0,38.0,28.0,39.0,47.0,36.0,22.0,11.0,6.0,4.0,0.0,0.0,0.0,20.0,20.0,23.0,11.0,9.0,16.0,48592.640999999996,90235.208,88994.959,46147.96400000001,88626.08799999997,87741.81800000001
2020-03-21,58.0,333.0,307.0,282.0,35.0,38.0,28.0,61.0,47.0,36.0,14.0,11.0,6.0,1.0,0.0,0.0,27.0,20.0,20.0,19.0,11.0,9.0,79103.62899999999,48592.640999999996,90235.208,75959.16399999999,46147.96400000001,88626.08799999997
2020-03-22,50.0,362.0,333.0,307.0,58.0,35.0,38.0,78.0,61.0,47.0,16.0,14.0,11.0,0.0,1.0,0.0,25.0,27.0,20.0,26.0,19.0,11.0,44574.127,79103.62899999999,48592.640999999996,43339.081,75959.16399999999,46147.96400000001
2020-03-23,52.0,346.0,362.0,333.0,50.0,58.0,35.0,80.0,78.0,61.0,23.0,16.0,14.0,2.0,0.0,1.0,17.0,25.0,27.0,12.0,26.0,19.0,20534.084,44574.127,79103.62899999999,23681.319,43339.081,75959.16399999999
2020-03-24,113.0,207.0,346.0,362.0,52.0,50.0,58.0,99.0,80.0,78.0,26.0,23.0,16.0,0.0,2.0,0.0,35.0,17.0,25.0,22.0,12.0,26.0,73180.557,20534.084,44574.127,74085.50399999999,23681.319,43339.081
2020-03-25,75.0,496.0,207.0,346.0,113.0,52.0,50.0,127.0,99.0,80.0,33.0,26.0,23.0,4.0,0.0,2.0,29.0,35.0,17.0,99.0,22.0,12.0,66723.511,73180.557,20534.084,65711.372,74085.50399999999,23681.319
