Fecha,Pruebas,Incidentes,H,H_UCI,Defunciones,Asintomaticos,Sintomaticos,Entradas,Salidas
2020-03-08,130.0,1.0,0.0,0.0,0.0,2.0,1.0,134872.11800000002,129792.95599999999
2020-03-09,21.0,3.0,0.0,0.0,0.0,0.0,4.0,146586.006,148231.62900000002
2020-03-10,39.0,6.0,0.0,0.0,0.0,0.0,4.0,145999.438,145006.937
2020-03-11,116.0,12.0,0.0,0.0,0.0,2.0,10.0,145431.106,143921.17299999998
2020-03-12,136.0,9.0,4.0,1.0,0.0,5.0,7.0,145470.77099999998,144238.438
2020-03-13,228.0,12.0,8.0,1.0,0.0,3.0,9.0,143647.02800000002,140719.734
2020-03-14,196.0,23.0,8.0,2.0,0.0,5.0,19.0,71089.56700000001,69784.739
2020-03-15,121.0,18.0,13.0,2.0,0.0,4.0,14.0,37512.615999999995,39003.832
2020-03-16,147.0,24.0,18.0,3.0,0.0,5.0,14.0,87342.40599999999,88830.577
2020-03-17,226.0,39.0,22.0,4.0,0.0,23.0,16.0,88994.959,87741.818
2020-03-18,282.0,28.0,36.0,6.0,0.0,20.0,9.0,90235.20800000001,88626.08799999999
2020-03-19,307.0,38.0,47.0,11.0,0.0,20.0,11.0,48592.641,46147.964
2020-03-20,333.0,35.0,61.0,14.0,1.0,27.0,19.0,79103.62899999999,75959.16399999999
2020-03-21,362.0,58.0,78.0,16.0,0.0,25.0,26.0,44574.127,43339.081
2020-03-22,346.0,50.0,80.0,23.0,2.0,17.0,12.0,20534.084,23681.319
2020-03-23,207.0,52.0,99.0,26.0,0.0,35.0,22.0,73180.557,74085.50399999999
2020-03-24,496.0,113.0,127.0,33.0,4.0,29.0,99.0,66723.511,65711.372
2020-03-25,496.0,75.0,172.0,36.0,3.0,17.0,62.0,75332.831,73839.628
2020-03-26,728.0,119.0,209.0,53.0,9.0,26.0,71.0,78024.17199999999,76341.433
2020-03-27,715.0,86.0,231.0,58.0,6.0,15.0,58.0,77433.15299999999,72949.331
2020-03-28,517.0,62.0,260.0,57.0,6.0,15.0,46.0,37367.141,35390.585
2020-03-29,402.0,50.0,265.0,57.0,9.0,8.0,42.0,26687.71,29374.43
2020-03-30,250.0,46.0,283.0,59.0,3.0,18.0,31.0,65859.748,67176.408
2020-03-31,616.0,60.0,304.0,57.0,6.0,31.0,20.0,60564.859,58726.373999999996
2020-04-01,598.0,34.0,287.0,58.0,4.0,13.0,23.0,64725.778000000006,62515.594
2020-04-02,572.0,71.0,284.0,57.0,9.0,26.0,34.0,65887.555,64861.919
2020-04-03,460.0,38.0,284.0,57.0,6.0,6.0,37.0,68036.16500000001,65767.195
2020-04-04,587.0,43.0,290.0,58.0,4.0,9.0,36.0,43351.534,42212.572
2020-04-05,331.0,18.0,298.0,53.0,14.0,13.0,6.0,22476.315000000002,25210.781000000003
2020-04-06,221.0,31.0,293.0,51.0,3.0,15.0,15.0,67012.30500000001,68752.005
2020-04-07,540.0,25.0,273.0,50.0,4.0,14.0,19.0,73149.812,72911.732
2020-04-08,606.0,16.0,262.0,47.0,6.0,14.0,19.0,76073.839,72578.85800000001
2020-04-09,546.0,40.0,244.0,49.0,2.0,17.0,25.0,56409.583,52853.667
2020-04-10,394.0,11.0,231.0,42.0,3.0,4.0,7.0,31422.809,30399.339
2020-04-11,306.0,7.0,220.0,44.0,4.0,19.0,8.0,45761.893,44028.744
2020-04-12,363.0,4.0,221.0,43.0,3.0,5.0,6.0,23745.616,25232.756999999998
2020-04-13,455.0,6.0,211.0,41.0,1.0,5.0,17.0,65572.423,68268.969
2020-04-14,931.0,18.0,200.0,36.0,3.0,31.0,25.0,84971.579,85071.649
2020-04-15,760.0,12.0,186.0,36.0,0.0,29.0,19.0,76348.265,76034.67
2020-04-16,581.0,1.0,160.0,34.0,2.0,4.0,10.0,90138.38399999999,89345.793
2020-04-17,474.0,8.0,152.0,36.0,4.0,6.0,15.0,91734.826,87091.73199999999
2020-04-18,503.0,10.0,145.0,31.0,1.0,2.0,7.0,49107.0,47461.915
2020-04-19,390.0,2.0,128.0,30.0,2.0,2.0,1.0,24269.322999999997,26879.581000000002
2020-04-20,561.0,5.0,129.0,27.0,0.0,3.0,23.0,83943.38399999999,84814.757
2020-04-21,730.0,9.0,127.0,25.0,1.0,7.0,14.0,87675.05,87656.889
2020-04-22,719.0,4.0,117.0,28.0,1.0,3.0,3.0,89857.034,88295.395
2020-04-23,662.0,9.0,105.0,22.0,1.0,11.0,18.0,90598.91,87809.772
2020-04-24,531.0,7.0,99.0,22.0,1.0,4.0,18.0,89200.05300000001,85518.26000000001
2020-04-25,443.0,2.0,95.0,22.0,1.0,1.0,3.0,47622.686,45613.66
2020-04-26,330.0,1.0,82.0,22.0,2.0,1.0,2.0,26176.057,29099.803
2020-04-27,133.0,1.0,82.0,22.0,0.0,6.0,24.0,90512.151,91222.698
2020-04-28,557.0,6.0,71.0,20.0,0.0,18.0,34.0,92876.249,92163.791
2020-04-29,539.0,4.0,69.0,19.0,0.0,14.0,35.0,94837.90599999999,93463.095
2020-04-30,627.0,4.0,71.0,19.0,2.0,11.0,56.0,102073.447,96411.628
2020-05-01,497.0,2.0,72.0,20.0,1.0,1.0,0.0,44430.595,42840.738999999994
2020-05-02,129.0,1.0,71.0,18.0,3.0,3.0,4.0,54584.897,54283.731
2020-05-03,328.0,0.0,71.0,17.0,0.0,4.0,2.0,31130.713000000003,35490.064
2020-05-04,232.0,3.0,69.0,17.0,0.0,24.0,49.0,101552.556,101214.963
2020-05-05,636.0,2.0,66.0,15.0,1.0,14.0,59.0,105701.879,105069.77000000002
2020-05-06,609.0,6.0,56.0,13.0,0.0,32.0,41.0,96299.489,94887.494
2020-05-07,659.0,2.0,58.0,11.0,1.0,25.0,37.0,97000.443,95333.495
2020-05-08,613.0,1.0,51.0,13.0,0.0,34.0,26.0,99788.66700000002,95875.812
2020-05-09,426.0,7.0,45.0,13.0,0.0,3.0,2.0,57241.993,54020.227
2020-05-10,566.0,4.0,41.0,12.0,0.0,0.0,6.0,30505.959000000003,34650.073000000004
2020-05-11,162.0,2.0,39.0,12.0,0.0,1.0,2.0,102996.618,103401.728
