Fuente: Servicio de Epidemiología. D.G. Salud Pública y Adicciones;;;;;;;;;;;;;;;;;
Los datos diarios mostrados en este fichero son provisionales y deben interpretarse con precaución por ser información dependiente del momento de su extracción, especialmente los datos referentes a los últimos 7 días según sintomatología;;;;;;;;;;;;;;;;;
El Servicio de Epidemiología de la Dirección General de Salud Pública y Adicciones no se responsabiliza de los resultados derivados del uso de estos datos por parte de los usuarios de los mismos. Además, cualquier usuario se compromete a citar, en cualquier publicación obtenida a partir de ellos, al Servicio de Epidemiología de la Dirección General de Salud Pública y Adicciones de la Consejería de Salud como fuente del dato primario, así como a que el grado de exactitud o fiabilidad de la información derivada por elaboración propia de los autores es de la exclusiva responsabilidad de estos.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Fecha;Pruebas_PCR_Ag;Casos_incidentes_PCR/Ag+;Hospitalizados;Hospitaliz_UCI;Defunciones;Asintomatico_hombre_<45años;Asintomatico_hombre_45a64años;Asintomatico_hombre_+65años;Sintomatico_hombre_<45años;Sintomatico_hombre_45a64años;Sintomatico_hombre_+65años;Asintomatico_mujer_<45años;Asintomatico_mujer_45a64años;Asintomatico_mujer_+65años;Sintomatico_mujer_<45años;Sintomatico_mujer_45a64años;Sintomatico_mujer_+65años
08/03/2020;130;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0
09/03/2020;21;3;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0
10/03/2020;39;6;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0
11/03/2020;116;12;0;0;0;1;0;0;2;0;2;1;0;0;4;1;1
12/03/2020;136;9;4;1;0;3;1;0;3;1;1;1;0;0;1;0;1
13/03/2020;228;12;8;1;0;1;1;0;2;3;0;1;0;0;4;0;0
14/03/2020;196;23;8;2;0;1;2;0;3;2;4;1;0;1;3;6;1
15/03/2020;121;18;13;2;0;1;0;0;2;0;3;1;1;1;6;2;1
16/03/2020;147;24;18;3;0;1;1;0;4;2;2;3;0;0;3;3;0
17/03/2020;226;39;22;4;0;10;4;2;1;3;3;2;2;3;2;3;4
18/03/2020;282;28;36;6;0;3;8;0;0;4;1;6;1;2;0;2;2
19/03/2020;307;38;47;11;0;4;4;2;3;4;0;5;3;2;1;3;0
20/03/2020;333;35;61;14;1;10;7;1;3;5;1;2;4;3;5;3;2
21/03/2020;362;58;78;16;0;4;8;1;3;10;6;5;3;4;3;2;2
22/03/2020;346;50;80;23;2;3;4;1;1;3;3;1;6;2;0;3;2
23/03/2020;207;52;99;26;0;6;7;1;3;2;6;5;10;6;3;5;3
24/03/2020;496;113;127;33;4;6;8;3;8;9;19;4;2;6;11;12;40
25/03/2020;496;75;172;36;3;2;3;1;6;8;10;6;2;3;10;14;14
26/03/2020;728;119;209;53;9;6;4;2;9;14;12;7;3;4;10;15;11
27/03/2020;715;86;231;58;6;2;4;2;6;10;5;0;6;1;12;14;11
28/03/2020;517;62;260;57;6;3;2;2;5;6;12;4;4;0;7;9;7
29/03/2020;402;50;265;57;9;0;2;0;6;6;8;2;1;3;6;10;6
30/03/2020;250;46;283;59;3;3;2;1;0;5;5;1;2;9;10;3;8
31/03/2020;616;60;304;57;6;4;5;5;3;4;3;7;8;2;3;4;3
01/04/2020;598;34;287;58;4;2;0;2;1;4;0;4;4;1;10;3;5
02/04/2020;572;71;284;57;9;3;2;4;3;1;4;5;5;7;13;5;8
03/04/2020;460;38;284;57;6;1;0;3;3;8;3;0;1;1;9;7;7
04/04/2020;587;43;290;58;4;0;1;1;7;4;5;2;1;4;7;8;5
05/04/2020;331;18;298;53;14;2;4;2;1;0;0;2;1;2;2;3;0
